date,open,high,low,close,volume,predicts
2020-04-14,10827.0,10956.0,10810.0,10896.0,142852.0,1
2020-04-15,10873.0,10955.0,10850.0,10953.0,32744.0,1
2020-04-16,10979.0,11038.0,10935.0,10983.0,96962.0,0
2020-04-17,10985.0,10995.0,10802.0,10865.0,166376.0,2
2020-04-18,10850.0,10938.0,10765.0,10915.0,151433.0,1
2020-04-20,10922.0,10960.0,10738.0,10750.0,192698.0,1
2020-04-21,10735.0,10877.0,10644.0,10818.0,206606.0,0
2020-04-22,10819.0,10844.0,10691.0,10736.0,64398.0,0
2020-04-23,10768.0,10824.0,10724.0,10763.0,118171.0,1
2020-04-24,10755.0,10972.0,10755.0,10872.0,162234.0,0
2020-04-25,10918.0,10960.0,10850.0,10887.0,101036.0,1
2020-04-27,10851.0,11008.0,10827.0,10952.0,156152.0,0
2020-04-28,10943.0,10965.0,10723.0,10743.0,189202.0,1
2020-04-29,10729.0,10803.0,10700.0,10782.0,49757.0,1
2020-04-30,10800.0,10840.0,10651.0,10817.0,124510.0,0
2020-05-01,10836.0,11027.0,10810.0,10984.0,131541.0,0
2020-05-04,11002.0,11037.0,10926.0,10972.0,141170.0,1
2020-05-05,10963.0,11077.0,10856.0,10907.0,189563.0,0
2020-05-06,10914.0,10983.0,10806.0,10922.0,165678.0,0
2020-05-07,10911.0,10967.0,10863.0,10957.0,45982.0,0
