Date,Open,High,Low,Close,TotalVolume
1998/7/22,7950,7950,7820,7870,360
1998/7/23,7830,7859,7802,7825,190
1998/7/24,7750,7835,7740,7835,340
1998/7/27,7830,7835,7780,7786,150
1998/7/28,7809,7830,7742,7742,264
1998/7/29,7710,7729,7657,7680,323
1998/7/30,7665,7678,7620,7638,0
1998/7/31,7660,7683,7600,7600,257
1998/8/1,7557,7609,7550,7609,378
1998/8/3,7640,7657,7542,7552,293
1998/8/4,7555,7600,7548,7560,302
1998/8/5,7510,7520,7470,7487,455
1998/8/6,7515,7525,7451,7462,270
1998/8/7,7480,7520,7452,7515,453
1998/8/10,7500,7500,7350,7365,345
1998/8/11,7316,7379,7316,7360,386
1998/8/12,7335,7335,7281,7330,384
1998/8/13,7360,7378,7291,7291,496
1998/8/14,7275,7326,7140,7320,528
1998/8/15,7261,7338,7261,7300,361
1998/8/17,7285,7285,7219,7219,308
1998/8/18,7250,7250,7165,7220,574
1998/8/19,7269,7300,7260,7285,543
1998/8/20,7300,7300,7253,7271,322
1998/8/21,7255,7255,7220,7225,301
1998/8/24,7172,7175,6955,6955,919
1998/8/25,6938,6970,6844,6949,780
1998/8/26,6990,7014,6790,6790,839
1998/8/27,6681,6850,6651,6835,1137
1998/8/28,6699,6820,6655,6695,1285
1998/8/29,6700,6780,6700,6728,698
1998/8/31,6750,6756,6566,6566,922
1998/9/1,6352,6410,6216,6410,1584
1998/9/2,6494,6495,6380,6430,1417
1998/9/3,6400,6400,6200,6200,1459
1998/9/4,6120,6400,6120,6399,1789
1998/9/5,6420,6710,6420,6700,2198
1998/9/7,6730,6769,6603,6719,1632
1998/9/8,6719,6870,6700,6865,1410
1998/9/9,6930,6931,6735,6770,1901
1998/9/10,6720,6798,6702,6730,1371
1998/9/11,6680,6769,6630,6769,1804
1998/9/14,6789,6849,6769,6818,871
1998/9/15,6840,6850,6780,6825,612
1998/9/16,6815,6995,6815,6995,732
1998/9/17,6945,6964,6892,6906,1979
1998/9/18,6840,6876,6832,6842,1470
1998/9/19,6859,7040,6855,7039,2339
1998/9/21,7035,7060,6850,6861,2307
1998/9/22,6930,6958,6855,6926,1715
1998/9/23,6900,6946,6850,6852,1773
1998/9/24,6940,6940,6870,6890,1403
1998/9/25,6856,6881,6771,6871,1928
1998/9/28,6860,6880,6801,6840,1132
1998/9/29,6870,6875,6780,6806,1389
1998/9/30,6806,6827,6751,6787,1239
1998/10/1,6738,6745,6620,6620,2073
1998/10/2,6530,6530,6311,6398,2532
1998/10/3,6398,6555,6398,6550,2383
1998/10/6,6490,6493,6320,6450,2007
1998/10/7,6469,6640,6469,6639,2348
1998/10/8,6600,7035,6600,6981,3281
